UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Al'adhrabayjania,@Aze_ktrr,2021-10-04T19:56:55.000Z,"Al'adhrabayjania
@Aze_ktrr
·
4 oct.","Selon Ibn Abbas qui a dit :
""Un homme m’a dit : Ô Ibn Abbas, décris pour moi la famille de Muhammad.""
Ibn Abbas a dit :
""Ce sont les Maîtres pieux.
Ils sont très généreux.
Ils sont destructeurs de tout mal. 
Ils ne sont pas intéressés par le monde. [...]
1
5
7",,1,5,7,['https://pbs.twimg.com/media/FA4VGfyXoAodbDC?format=jpg&name=small'],https://twitter.com/Aze_ktrr/status/1445115738713468937
DRYGAS,@ladrygance,2021-10-04T19:26:34.000Z,"DRYGAS
@ladrygance
·
4 oct.","Aze si maintenant y a même Twitter qui bug on va finir sur msn zebi
1
45",,,1,45,[],https://twitter.com/ladrygance/status/1445108100743245848
Al'adhrabayjania,@Aze_ktrr,2021-10-04T20:01:06.000Z,"Al'adhrabayjania
@Aze_ktrr
·
4 oct.","Ils sont les établissements de salat. (prières)
Ils sont les donateurs de Zakat. (charité)
Ils sont les exécutants des bonnes actions.
Ils sont les destructeurs des mauvaises actions.""

 Lesan Al-Mizan, volume 3, page                  237
4",📚,,,4,['https://pbs.twimg.com/media/FA4WD1JXsAEt_SY?format=jpg&name=small'],https://twitter.com/Aze_ktrr/status/1445116790246420489
Al'adhrabayjania,@Aze_ktrr,2021-10-04T19:58:17.000Z,"Al'adhrabayjania
@Aze_ktrr
·
4 oct.","Ils n’ont pas de désirs mondains.
Ils sont les polis.
Ils sont conscients de tout. 
Ce sont les étoiles la nuit.
Ils sont les plus élevés en statut
Ils sont les maîtres des maîtres.
Ils sont la pluie de miséricorde sur ceux qui en ont besoin. 
Ce sont les braves lions. [...]
1
4",,1,,4,['https://pbs.twimg.com/media/FA4Vaa9WQAEoRtl?format=jpg&name=small'],https://twitter.com/Aze_ktrr/status/1445116081610399751
محمد,@MohaDz693,2021-10-04T19:25:52.000Z,"محمد
@MohaDz693
·
4 oct.",Cyberpunk c'est à dire mi humain mi technologie et certain livre dénonce ces project la qui veulent d'ailleur en ce moment la météo est bizarez eh bas ça fais partie de leur project on appelle ça le project haarp,,,,,[],https://twitter.com/MohaDz693/status/1445107924079153169
محمد,@MohaDz693,2021-10-04T19:22:00.000Z,"محمد
@MohaDz693
·
4 oct.","En réponse à 
@Aze_ktrr
  et  
@ishqkissa
Bien sur akhi en gros pour résumer depuis bien longtemps y sont entrain de mettre en place le N.O.M (Nouvelle Ordre Mondial ) et aujourd'huis nous y somme l'histoire du covid et du vaccin sont la justement pour réduire la population et avoir un peuple d'exclavage car leur but",,,,,[],https://twitter.com/MohaDz693/status/1445106949742288910
محمد,@MohaDz693,2021-10-04T19:24:30.000Z,"محمد
@MohaDz693
·
4 oct.","En réponse à 
@Aze_ktrr
  et  
@ishqkissa
C'est de réduire la population à 1milliard et ce project la sont bien évidament contrôler par des hommes très riches comme Bill Gates etc don la on arrive petit a petit à un monde ou y'aura plus de liberter tout ce qui veulent c'est de l'esclavage et transformer l'humain en un",,,,,[],https://twitter.com/MohaDz693/status/1445107581131833348
Cill,@__Cill__,2021-10-04T20:48:46.000Z,"Cill
@__Cill__
·
4 oct.","En réponse à 
@Y0KAIGR1M
  et  
@AzeSouth
Grim dit à Azé de doser
1",,1,,,[],https://twitter.com/__Cill__/status/1445128785909649414
!lhan,@trxgxdie,2021-10-04T18:52:18.000Z,"!lhan
@trxgxdie
·
4 oct.","En réponse à 
@AzeSouth
100 eme avec ton freestyle continue comme ça aze
2",,2,,,[],https://twitter.com/trxgxdie/status/1445099476474081283
Spaghetti libolognaise,@_vitaski,2021-10-04T21:57:19.000Z,"Spaghetti libolognaise
@_vitaski
·
4 oct.","En réponse à 
@AlcoLucas
  et  
@OchoDeMayo_
Azé mets nous bien
1",🍝,1,,,[],https://twitter.com/_vitaski/status/1445146035479777280
