UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Valentin,@ValentinBroion,2021-07-10T13:22:53.000Z,"Valentin
@ValentinBroion
·
10 juil.","En réponse à 
@nicoseosem
Petite coquille dans Auto/Moteur : http://commeuncamion.com contrairement a ce que laisse penser le NDD, c'est pas vraiment un site Automobile ;)
1
3",,1,,3,[],https://twitter.com/ValentinBroion/status/1413851218686971907
𝑵𝒊𝒄𝒐 𝗦𝗘𝗢𝕊𝔼𝕄 - SEO en,@nicoseosem,2021-07-10T17:34:53.000Z,"𝑵𝒊𝒄𝒐 𝗦𝗘𝗢𝕊𝔼𝕄 - SEO en
@nicoseosem
·
10 juil.","Merci Valentin , en effet, je le sortirai du palmarès. 
Il est probable (on est samedi, je checkerai lundi) que le domaine rankait sur des keywords ""moteurs"" lors d'updates précédent.
Encore merci
1",👍,,,1,[],https://twitter.com/nicoseosem/status/1413914637771358212
Raphael Doucet,@RaphSEO,2021-07-10T12:23:09.000Z,"Raphael Doucet
@RaphSEO
·
10 juil.","En réponse à 
@nicoseosem
  et  
@webrankinfo
tout se passe merveilleusement bien :D
1",,1,,,['https://pbs.twimg.com/media/E570gbaWYAI-tWr?format=jpg&name=small'],https://twitter.com/RaphSEO/status/1413836185424826369
𝑵𝒊𝒄𝒐 𝗦𝗘𝗢𝕊𝔼𝕄 - SEO en,@nicoseosem,2021-07-10T17:29:43.000Z,"𝑵𝒊𝒄𝒐 𝗦𝗘𝗢𝕊𝔼𝕄 - SEO en
@nicoseosem
·
10 juil.","Le massacre ! Passer de 33% des keywords en page a la moitié...
1",,1,,,[],https://twitter.com/nicoseosem/status/1413913338275323906
Les threads de l'insomnie,@Threadsinsomnie,2021-07-12T00:39:27.000Z,"Les threads de l'insomnie
@Threadsinsomnie
·
12 juil.","En réponse à 
@Threadsinsomnie
50) C'est quoi LE truc qui vous séduit chez une personne ? 
3
91
3",😍,3,91,3,[],https://twitter.com/Threadsinsomnie/status/1414383871832039442
Secrétariat Illuminati,@patatte1,2021-07-12T11:48:06.000Z,"Secrétariat Illuminati
@patatte1
·
12 juil.",C'est perso  et ça risquerait de choquer quelques personnes si je publiais tous med keywords de site porno,,,,,[],https://twitter.com/patatte1/status/1414552142929670149
Azrod,@Azrod19978276,2021-07-16T11:37:21.000Z,"Azrod
@Azrod19978276
·
16 juil.","En réponse à 
@Ageritsu
 @Sf21901410
  et 2 autres personnes
C’est du trashtalk mais ils disent dans leurs stream « j’espère qu’il vas se suicider »
1",,1,,,[],https://twitter.com/Azrod19978276/status/1415998990286471168
A.C,@Ageritsu,2021-07-16T13:12:40.000Z,"A.C
@Ageritsu
·
16 juil.","Bah c'est pour ça que sur un stream t'as ce qu'on appelle la modération, les bans, et les bots qui peuvent aussi insta ban certains keywords 
1",,1,,,[],https://twitter.com/Ageritsu/status/1416022975191687170
Xavier Mouto[N]-Dubosc,@dascritch,2021-07-18T10:15:21.000Z,"Xavier Mouto[N]-Dubosc
@dascritch
·
18 juil.","C'est très drôle de voir encore beaucoup de sites utiliser <meta type=""keywords""....
Une balise qui n'a eu d'utilité que 18 mois en 2000.
eh oui 
Know your classics, know your basics, read the standards, search the intend
DEV Community
@ThePracticalDev
 · 18 juil.
Here, I will be explaining how search engines work and the different components that work together to deliver results to you - FAST.

{ author: @ElegberunDaniel } #DEVCommunity
https://dev.to/gbengelebs/how-search-engines-work-finding-a-needle-in-a-haystack-4lnp…
3
3
6",🤷,3,3,6,['https://pbs.twimg.com/profile_images/1389789795065335809/A8H1fuQb_mini.jpg'],https://twitter.com/dascritch/status/1416703128469131266
Lahouaria Chérif,@CherifLahouaria,2021-07-17T22:23:49.000Z,"Lahouaria Chérif
@CherifLahouaria
·
18 juil.","Demandez à Google à propos de la banque de Pfizer: 
Réponse: Emmanuel macron, le président de la France.   #Passanitaire   #antivaxx   #manif17juillet
24
17
59",,24,17,59,['https://pbs.twimg.com/media/E6iBBbgXsAAZ451?format=png&name=small'],https://twitter.com/CherifLahouaria/status/1416524065347604485
