UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Inter FR,@InterMilanFRA,2021-10-05T12:45:11.000Z,"Inter FR
@InterMilanFRA
·
5 oct.","Des fans de l’Inter ont péché un poisson dans la douve du Mapei Stadium lors de #SassuoloInter 
De 
Ahmad
8
75
287",😂,8,75,287,['https://pbs.twimg.com/ext_tw_video_thumb/1445293781918564357/pu/img/pXNe48iFygoX1_mC.jpg'],https://twitter.com/InterMilanFRA/status/1445369474681561090
BouziTV,@BouziTV_,2021-10-05T16:39:05.000Z,"BouziTV
@BouziTV_
·
5 oct.","La queue de poisson 
5
204",😂,,5,204,['https://pbs.twimg.com/ext_tw_video_thumb/1445428066549964800/pu/img/sZtlPj-nPZTCFdRD.jpg'],https://twitter.com/BouziTV_/status/1445428339259367425
Manucho,@jordi_Iam,2021-10-06T10:52:11.000Z,"Manucho
@jordi_Iam
·
6 oct.","donc vous mangez la partie noire du poisson thon quoi? mdr yfy
14
131
132",,14,131,132,[],https://twitter.com/jordi_Iam/status/1445703426080444416
Bob de Chicago,@ChicagoACNH,2021-10-06T18:16:12.000Z,"Bob de Chicago
@ChicagoACNH
·
6 oct.","Une petite soupe de poisson ?  #acnh
2
8",😜 🥣 ⛩,,2,8,['https://pbs.twimg.com/media/FBCROzlUYAETBE1?format=jpg&name=small'],https://twitter.com/ChicagoACNH/status/1445815166512283651
Bouteflikov™,@Bouteflikov,2021-10-07T17:42:15.000Z,"Bouteflikov™
@Bouteflikov
·
7 oct.","Après que le «poisson perroquet» mange du corail mort, il va chier  du sable. Cette merde de sable est particulière car elle est responsable de l’existence de presque toutes les plages de sable blanc d'Hawaï.
37
409
3,7 k",📚,37,409,"3,7 k",['https://pbs.twimg.com/media/FBHTC2NWEAg0w4J?format=jpg&name=small'],https://twitter.com/Bouteflikov/status/1446169010077306883
Ghost,@FabriceBasta1,2021-10-07T18:18:08.000Z,"Ghost
@FabriceBasta1
·
7 oct.","La montée des eaux a ramené un mauvais poisson cc?
Tititiou
@porcijoz
 · 7 oct.
Like tu pars chez ton gars tu lui expliques ton problème d’argent et tout,et après il te dit < werrr coucou tu vas alors faire comment ? >.
10
20
44",🐐 🌼 🌼,10,20,44,"['https://pbs.twimg.com/media/FBHbQY8WEAc2Knv?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1425262082052829184/3zz-Z_0V_mini.jpg']",https://twitter.com/FabriceBasta1/status/1446178041911259140
HURIEL,@Jfh82,2021-10-08T20:16:35.000Z,"HURIEL
@Jfh82
·
8 oct.","Emmanuel Macron : ""Nous avons une dette envers l’Afrique et nous devons assumer notre africanité""....  A première vue, il a l'air d'y être comme un poisson dans l'eau, notre petit goujon !.  https://w.lpnt.fr/2446836t via 
@LePoint
82
138
156",😂,82,138,156,['https://pbs.twimg.com/media/FBM_8waWYAgYyZF?format=png&name=small'],https://twitter.com/Jfh82/status/1446570236497514497
Patrick Edery,@patrick_edery,2021-10-08T15:30:10.000Z,"Patrick Edery
@patrick_edery
·
8 oct.","Très heureux car pour la 1ère fois toute la droite non progressiste du #RN à #Zemmour en passant par #Poisson a fait front commun pour défendre la #Pologne. Et surtout, in fine, réaffirmer que c'est toujours le peuple qui doit avoir le dernier mot et non les technocrates
20
582
1,4 k",👍 👏,20,582,"1,4 k",[],https://twitter.com/patrick_edery/status/1446498161313337346
Khadija,@PoissonExpress,2021-10-09T18:37:54.000Z,"Khadija
@PoissonExpress
·
9 oct.","Des Crevettes farcies ..For a Saturday night.avec la voix de 
@Coumba_Gawlo
 @OG_Diara
 @mareme_sadio
 @morcelo12
 @malick_juf
 @fatima_bocoum
 @Niintche
 @magnei_salih
 @ummulfadilu
 #PoissonExpress..#LivreCulinaire ..#Rtapprecies ..Thank's Bon appêtit 
2
49
124",😋 🦈 🦐 🦐 😋,2,49,124,['https://pbs.twimg.com/ext_tw_video_thumb/1446907594061275145/pu/img/0LuinPJi027kbZRQ.jpg'],https://twitter.com/PoissonExpress/status/1446907792590352394
KAY VEW OU OCHAN ??,@taumate_farcy,2021-10-09T15:59:54.000Z,"KAY VEW OU OCHAN ??
@taumate_farcy
·
9 oct.","J’ai un amour profond pour les crêpes au poisson 
1
39
20",🥴,1,39,20,[],https://twitter.com/taumate_farcy/status/1446868031473340417
,@PrimeCP3_,2021-10-10T16:33:54.000Z,"@PrimeCP3_
·
10 oct.","Des gens préfèrent le poisson à la viande
GIF
2
22
89",™,2,22,89,['https://pbs.twimg.com/tweet_video_thumb/FBWgK42WYAMZdok.jpg'],https://twitter.com/PrimeCP3_/status/1447238973852692490
Roméo Anderson,@RomoGAnderson1,2021-10-10T20:34:16.000Z,"Roméo Anderson
@RomoGAnderson1
·
10 oct.","Riz blanc avec poulet braisé/poisson frites accompagné d'alloco
8
26",🍚 🍗 🐟 🤤 😋,,8,26,['https://pbs.twimg.com/media/FBXXMIAXoAQe91u?format=jpg&name=small'],https://twitter.com/RomoGAnderson1/status/1447299465447104512
